"År","Ident","Navn","Indikator","parameter","Variabel"
"2016","54","54 Sandal","Median inntekt etter skatt pr forbruksenhet","NOK","473000"
"2016","55","55 Madlatuå","Median inntekt etter skatt pr forbruksenhet","NOK","450000"
"2016","56","56 Smiodden","Median inntekt etter skatt pr forbruksenhet","NOK","327900"
"2016","57","57 Mjug","Median inntekt etter skatt pr forbruksenhet","NOK","348700"
"2016","58","58 Ørnaberget","Median inntekt etter skatt pr forbruksenhet","NOK","380500"
"2016","59","59 Sundekrossen","Median inntekt etter skatt pr forbruksenhet","NOK","398700"
"2016","60","60 Malthaug","Median inntekt etter skatt pr forbruksenhet","NOK","423800"
"2016","61","61 Gjeraberget","Median inntekt etter skatt pr forbruksenhet","NOK","419700"
"2016","62","62 Byhaugen","Median inntekt etter skatt pr forbruksenhet","NOK","372400"
"2016","63","63 Vardenes","Median inntekt etter skatt pr forbruksenhet","NOK","404900"
"2016","64","64 Tastaforen","Median inntekt etter skatt pr forbruksenhet","NOK","369600"
"2016","65","65 Smiene","Median inntekt etter skatt pr forbruksenhet","NOK","398200"
"2016","66"," 66  Teinå  ","Median inntekt etter skatt pr forbruksenhet","NOK","419800"
"2016","67","67 Forusstraen","Median inntekt etter skatt pr forbruksenhet","NOK","438200"
"2016","68","68 Husaberget","Median inntekt etter skatt pr forbruksenhet","NOK","398600"
"2016","69","69 Boganes","Median inntekt etter skatt pr forbruksenhet","NOK","406100"
"2016","70","70 Søra Bråde","Median inntekt etter skatt pr forbruksenhet","NOK","389900"
"2016","71","71 Jåttåvågen","Median inntekt etter skatt pr forbruksenhet","NOK","495000"
"2016","99","99 Uoppgitt","Median inntekt etter skatt pr forbruksenhet","NOK","334500"
